ASN,Holder,Country,UN Regions,UN Sub-Regions,RIR Regions,Filtering,Anti-spoofing,Coordination,Global Validation IRR,Global Validation RPKI
13440,Operbes,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
13474,Banco de Galicia y Buenos Aires,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
13489,EPM Telecomunicaciones S.A. E.S.P.,CO,Americas,Latin America and the Caribbean,LACNIC,0.93,,1,0.91,0.0
13495,NTT DO BRASIL TELECOMUNICACOES LTDA.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
13522,PUC PR CAMPUS CURITIBA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
13579,INFOTEC CENTRO DE INVESTIGACION E INNOVACION EN TECNOLOGIAS DE LA INFORMACION Y COMUNICACION,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
13585,Power VT S.A.,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
13591,Mexico Red de Telecomunicaciones,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.99,0.03
13679,Centros Culturales de Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
13682,Telgua,GT,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.93,0.56
13774,Corpbanca,CL,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
13878,UOL DIVEO S.A.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
13914,CAMARA DE DIRIGENTES LOJISTAS DE BELO HORIZONTE,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
13999,Mega Cable,MX,Americas,Latin America and the Caribbean,LACNIC,0.93,,1,1.0,0.0
14026,Nucleo de Inf. e Coord. do Ponto BR - NIC.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.07,0.0
14080,Telmex Colombia S.A.,CO,Americas,Latin America and the Caribbean,LACNIC,0.93,,1,0.91,0.94
14117,Telefonica del Sur S.A.,CL,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
14178,Megacable Comunicaciones de Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,0.96,,1,0.99,0.06
14187,BT LATAM COLOMBIA S.A.,CO,Americas,Latin America and the Caribbean,LACNIC,0.93,,1,1.0,0.64
14204,TAVOLA CONECTIVIDADE LTDA.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
14232,Cooperativa Telefonica Pinamar Ltda.,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.77,0.0
14234,ZONAMERICA,UY,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.88,0.0
14249,Internet Engine,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
14259,Gtd Internet S.A.,CL,Americas,Latin America and the Caribbean,LACNIC,0.94,,1,1.0,0.0
14282,PERSIS TELECOM,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
14339,SADESA S.A.,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.5,0.5
14346,Agencia Estado Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
14420,CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP,EC,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
14457,Radins Telecomunicacoes,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
14463,GRUPO TDKOM,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.68,0.0
14522,Satnet,EC,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.96
14571,OI MOVEL S.A. - Em Recuperacao Judicial,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
14650,Nucleo de Inf. e Coord. do Ponto BR - NIC.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,1.0
14708,WebHost Chile S.A.,CL,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
14709,Cable Onda,PA,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.95,0.51
14723,ArcelorMittal Sistemas SA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
14754,Telgua,GT,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.99,0.94
14795,Banco de Credito e Inversiones,CL,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.9,0.0
14840,BR Digital,BR,Americas,Latin America and the Caribbean,LACNIC,0.83,,1,1.0,1.0
14845,Universidad Nacional del Sur,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
14868,Ligga Telecomunicacoes S.A.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
14886,Atos Origin Brasil Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,0.5,0.0
14966,Larrain Vial S.A,CL,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
15034,TIBA S.A.,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.71,0.0
15107,Grupo Financiero Bancomer,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
